# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=100
# for k=2.09386e-07 to 33.2194 h/Mpc,
# number of wavenumbers equal to 144
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_tot                  7:phi                    8:psi                    9:t_g                   10:t_b                   11:t_cdm                 12:t_ur                  13:t_tot              
       6.050099286240e-02      -6.047579754290e-01      -7.504490569362e+01      -1.023930313406e+02      -5.915864065221e-01      -9.528150213430e+01       1.412148894955e-01       1.412121424855e-01      -5.993430611421e-04       1.198005864969e-01       1.237605164144e-01       4.694364102851e-04       1.184449063397e-01 
       6.386809447747e-02      -4.990746062535e-01      -8.252884619961e+01      -1.086042074050e+02      -5.193648487479e-01      -1.015054696785e+02       1.350354943460e-01       1.350381744469e-01       1.488379387687e-04       1.283409797218e-01       1.317695083556e-01      -6.077183879150e-04       1.262295604119e-01 
       6.709283548467e-02      -5.598000879997e-01      -8.922346710712e+01      -1.144697140713e+02      -5.348549938042e-01      -1.073298213460e+02       1.294197650461e-01       1.294175917968e-01       5.467708725211e-04       1.361791396615e-01       1.392828155990e-01       7.300018761393e-04       1.335358429158e-01 
       7.023551553661e-02      -4.738284956970e-01      -9.490113037763e+01      -1.200190303023e+02      -4.898687094192e-01      -1.127368269028e+02       1.240723794117e-01       1.240736181923e-01      -1.418719128693e-03       1.432541618571e-01       1.462951703433e-01      -9.078856753611e-04       1.402210890781e-01 
       7.333574510163e-02      -4.686879068974e-01      -9.938342103451e+01      -1.252544272656e+02      -4.748294612168e-01      -1.177060300088e+02       1.188412360418e-01       1.188414528250e-01       1.705375895515e-03       1.495050397922e-01       1.527792420063e-01       9.142508132899e-04       1.465217343509e-01 
       7.642144123987e-02      -4.915965116774e-01      -1.025629393797e+02      -1.301703791587e+02      -4.661144883976e-01      -1.222153233350e+02       1.136485000598e-01       1.136472282770e-01      -1.161988026143e-03       1.548959559225e-01       1.587093653702e-01      -8.672304985694e-04       1.520523406874e-01 
       7.951343275842e-02      -3.909194023223e-01      -1.044241752816e+02      -1.347660947878e+02      -4.181642781711e-01      -1.262585699786e+02       1.084697326860e-01       1.084713714788e-01      -7.455908789830e-05       1.594372586860e-01       1.640800399783e-01       6.353771234462e-04       1.571409616269e-01 
       8.262801931208e-02      -4.438384111522e-01      -1.050609455250e+02      -1.390545492330e+02      -4.349353561548e-01      -1.298666679673e+02       1.033298706312e-01       1.033286690789e-01       1.112439086029e-03       1.631989199755e-01       1.689174737169e-01      -4.015562158773e-04       1.616420703615e-01 
       8.577848783173e-02      -3.874888198630e-01      -1.046872865287e+02      -1.430690444321e+02      -3.727429384922e-01      -1.330933994018e+02       9.827244253825e-02       9.827303796559e-02      -1.566706602190e-03       1.663204056906e-01       1.732894114956e-01       8.684315129400e-05       1.656057306477e-01 
       8.897605853080e-02      -3.616205237314e-01      -1.036380370816e+02      -1.468670392898e+02      -3.950576072765e-01      -1.360412495546e+02       9.336852381992e-02       9.336846658384e-02       1.335865622777e-03       1.690127849707e-01       1.773095699445e-01       1.371940926423e-04       1.693380514829e-01 
